"file name
 (type_block_filter_image_output_params)","h5 size
[KB]",blocks,image,output,params,"JeVois
Runtime
1344Hz [ms]","JeVois
Frames
1344Hz [fps]","JeVois
Runtime
408Hz [ms]","JeVois
Frames
408Hz [fps]","Sipeed
Runtime [ms]","Sipeed
Frames [fps]"
DepthwiseConv2D_1_x_128_66_811104.h5 ,3260.344,1,128,66,811104,25,37.3,61,15.5,34.81,29
DepthwiseConv2D_2_x_128_66_202878.h5,831.088,2,128,66,202878,19,50.2,55,17.1,11.8,84
DepthwiseConv2D_3_x_128_66_50844.h5,226.656,3,128,66,50844,17,53.5,55,17.3,5.34,187
DepthwiseConv2D_4_x_128_66_12858.h5 ,82.736,4,128,66,12858,17,54.1,54,17.3,4.97,200
DepthwiseConv2D_5_x_128_66_3384.h5,48.344,5,128,66,3384,17,54.3,55,17.1,4.84,205
DepthwiseConv2D_2_x_160_66_316926.h5,1287.28,2,160,66,316926,19,31.5,86,10.7,19.26,51
DepthwiseConv2D_3_x_160_66_79356.h5,340.704,3,160,66,79356,27,33.5,85,10.8,10.63,94
DepthwiseConv2D_4_x_160_66_19986.h5,111.248,4,160,66,19986,27,34,85,10.8,8.15,122
DepthwiseConv2D_5_x_160_66_5166.h5,55.472,5,160,66,5166,27,34.1,85,10.7,8.17,123
DepthwiseConv2D_2_x_192_66_456318.h5,1844.848,2,192,66,456318,41,22.1,125,7.5,27.04,37
DepthwiseConv2D_3_x_192_66_114204.h5,480.096,3,192,66,114204,39,22.5,122,7.6,14.63,68
DepthwiseConv2D_4_x_192_66_28698.h5,146.096,4,192,66,28698,38,23.8,122,7.6,10.72,93
DepthwiseConv2D_5_x_192_66_7344.h5,64.184,5,192,66,7344,38,23.7,121,7.5,10.71,92
DepthwiseConv2D_2_x_224_66_621054.h5,2503.792,2,224,66,621054,57,14.9,170,5.5,38.58,26
DepthwiseConv2D_3_x_224_66_155388.h5,644.832,3,224,66,155388,53,17.1,167,5.5,20.82,48
DepthwiseConv2D_4_x_224_66_38994.h5,187.28,4,224,66,38994,52,17.3,166,5.5,15.82,63
DepthwiseConv2D_5_x_224_66_9918.h5,74.48,5,224,66,9918,52,17.4,166,5.6,15.73,63
DepthwiseConv2D_1_x_64_82_252016.h5,1023.928,1,64,82,252016,7,130.9,16,54.7,10.05,99
DepthwiseConv2D_2_x_64_82_63118.h5,271.984,2,64,82,63118,5,166.1,14,59.5,1.75,560
DepthwiseConv2D_3_x_64_82_15916.h5,86.88,3,64,82,15916,5,180.3,14,61.5,1.45,670
DepthwiseConv2D_4_x_64_82_4138.h5,47.792,4,64,82,4138,5,182.4,13,61.7,1.36,720
DepthwiseConv2D_1_x_96_82_566896.h5 ,2283.448,1,96,82,566896,14,57.9,35,23.2,23.61,42
DepthwiseConv2D_2_x_96_82_141838.h5 ,586.864,2,96,82,141838,11,74.6,32,25.6,7.84,126
DepthwiseConv2D_3_x_96_82_35596.h5 ,165.6,3,96,82,35596,10,80.5,31,26.2,3.25,305
DepthwiseConv2D_4_x_96_82_9058.h5,67.472,4,96,82,9058,10,81.6,30,26.4,3.11,320
DepthwiseConv2D_2_x_128_82_252046.h5,1027.696,2,128,82,252046,19,48.7,56,16.8,13.6,73
DepthwiseConv2D_3_x_128_82_63148.h5,275.808,3,128,82,63148,17,53.1,55,17.3,5.35,185
DepthwiseConv2D_4_x_128_82_15946.h5,95.024,4,128,82,155946,17,53.9,55,17.3,5.08,194
DepthwiseConv2D_5_x_128_82_4168.h5,51.416,5,128,82,4168,17,54.4,54,17.4,4.91,202
DepthwiseConv2D_2_x_160_82_393742.h5,1594.48,2,160,82,393742,30,30.6,88,16.1,22.06,45
DepthwiseConv2D_3_x_160_82_98572.h5,417.504,3,160,82,89572,27,33.3,86,10.8,11.49,87
DepthwiseConv2D_4_x_160_82_24802.h5,130.448,4,160,82,24802,26,33.9,85,10.8,8.28,121
DepthwiseConv2D_5_x_160_82_6382.h5,60.272,5,160,82,6382,27,34.1,84,10.9,8.25,120
DepthwiseConv2D_2_x_192_82_566926.h5,2287.216,2,192,82,566926,43,21.5,127,7.4,31.4,32
DepthwiseConv2D_3_x_192_82_141868.h5,590.688,3,192,82,141868,39,23.3,124,7.9,15.31,65
DepthwiseConv2D_4_x_192_82_35626.h5,173.744,4,192,82,35626,38,23.9,122,7.6,11.03,90
DepthwiseConv2D_5_x_192_82_9088.h5,71.096,5,192,82,9088,38,24,122,7.6,10.76,93
DepthwiseConv2D_2_x_224_82_771598.h5,3105.904,2,224,82,771598,59,15.5,174,6.7,43.84,23
DepthwiseConv2D_3_x_224_82_193036.h5,795.36,3,224,82,193036,53,17,167,5.5,22.23,45
DepthwiseConv2D_4_x_224_82_48418.h5,224.912,4,224,82,48418,52,17.4,166,5.6,16.41,61
DepthwiseConv2D_5_x_224_82_12286.h5,83.888,5,224,82,12286,51,17.4,167,5.6,16.19,61
